split,trial_id,skipped,mask_file,image_size,chosen_max_dim_px,rotation_deg,dx,dy,obj_munsell,resample_attempts_total,resample_attempts_tint,resample_attempts_object,initial_path,candT_path,candF_path,tint_lab,bg_lab_pre,obj_lab_pre,obj_lab_post_init,bg_lab_post_init,obj_rgb_pre,bg_rgb_pre,tint_rgb,obj_rgb_post_init,bg_rgb_post_init,candT_obj_rgb,candF_obj_rgb,cand_bg_rgb,initial_obj_pre_wavelength_nm,initial_obj_post_wavelength_nm,candT_obj_pre_wavelength_nm,candF_obj_pre_wavelength_nm,background_wavelength_nm
train,11,0,apple1.png,512x512,382,-27.3994676877,7,-2,5PB 3/4,4,1,4,train/trial_000011/initial.png,train/trial_000011/candT.png,train/trial_000011/candF.png,"[60.0, -13.63691, -2.42384]","[60.0, 0.0, 0.0]","[30.37867, 4.32931, -21.45533]","[30.90759, -0.82791, -22.50167]","[60.00103, -13.63775, -2.42294]","[57, 71, 105]","[145, 145, 145]","[114, 152, 148]","[43, 75, 108]","[114, 152, 148]","[57, 71, 105]","[43, 75, 108]","[145, 145, 145]",,,,,
train,12,0,apple2.png,512x512,457,37.9755668057,10,3,2.5B 5/6,1,1,1,train/trial_000012/initial.png,train/trial_000012/candT.png,train/trial_000012/candF.png,"[60.0, -10.20565, 6.56051]","[60.0, 0.0, 0.0]","[51.00375, -18.08474, -20.0312]","[51.8756, -25.26051, -11.41236]","[60.00108, -10.20693, 6.56139]","[42, 132, 155]","[145, 145, 145]","[130, 150, 133]","[37, 136, 142]","[130, 150, 133]","[42, 132, 155]","[37, 136, 142]","[145, 145, 145]",,,,,
train,13,0,apple3.png,512x512,381,-7.24843227844,-15,-2,10GY 5/8,2,1,2,train/trial_000013/initial.png,train/trial_000013/candT.png,train/trial_000013/candF.png,"[60.0, -14.89908, -15.48541]","[60.0, 0.0, 0.0]","[51.00375, -34.7244, 29.21913]","[52.98794, -42.88582, 23.98664]","[60.00097, -14.89933, -15.48449]","[72, 136, 69]","[145, 145, 145]","[92, 153, 171]","[43, 144, 83]","[92, 153, 171]","[72, 136, 69]","[43, 144, 83]","[145, 145, 145]",,,,,
train,14,0,apple2.png,512x512,375,33.3202682605,-8,4,7.5YR 3/2,1,1,1,train/trial_000014/initial.png,train/trial_000014/candT.png,train/trial_000014/candF.png,"[60.0, 12.45197, 14.90839]","[60.0, 0.0, 0.0]","[30.37867, 7.56887, 9.18773]","[31.5704, 17.86726, 18.54942]","[60.00119, 12.44964, 14.9094]","[88, 67, 58]","[145, 145, 145]","[175, 136, 119]","[108, 63, 46]","[175, 136, 119]","[88, 67, 58]","[108, 63, 46]","[145, 145, 145]",,,,,
train,15,0,apple3.png,512x512,373,39.5305393701,-7,7,5GY 5/4,2,1,2,train/trial_000015/initial.png,train/trial_000015/candT.png,train/trial_000015/candF.png,"[60.0, -14.63447, 19.29134]","[60.0, 0.0, 0.0]","[51.00375, -10.56809, 21.29922]","[51.57384, -20.92081, 33.5648]","[60.0011, -14.63597, 19.29205]","[117, 126, 85]","[145, 145, 145]","[131, 151, 110]","[106, 131, 63]","[131, 151, 110]","[117, 126, 85]","[106, 131, 63]","[145, 145, 145]",,,,,
train,16,0,apple3.png,512x512,384,-18.5581289755,-4,-13,7.5PB 2/4,2,1,2,train/trial_000016/initial.png,train/trial_000016/candT.png,train/trial_000016/candF.png,"[60.0, 8.40613, 16.99922]","[60.0, 0.0, 0.0]","[20.23558, 9.10863, -20.25532]","[19.63024, 8.99821, -9.47903]","[60.00117, 8.40389, 17.00016]","[45, 46, 78]","[145, 145, 145]","[170, 139, 115]","[54, 44, 61]","[170, 139, 115]","[45, 46, 78]","[54, 44, 61]","[145, 145, 145]",,,,,
train,17,0,apple2.png,512x512,379,41.7511428957,-6,13,5RP 3/8,2,1,2,train/trial_000017/initial.png,train/trial_000017/candT.png,train/trial_000017/candF.png,"[60.0, 18.88243, -9.02287]","[60.0, 0.0, 0.0]","[30.37867, 39.91006, -9.68133]","[34.27437, 49.53471, -10.13246]","[60.00112, 18.88064, -9.02168]","[121, 41, 88]","[145, 145, 145]","[171, 134, 161]","[144, 37, 98]","[171, 134, 161]","[121, 41, 88]","[144, 37, 98]","[145, 145, 145]",,,,,
train,18,0,apple1.png,512x512,370,-12.5708339684,2,-2,10Y 6/4,2,1,2,train/trial_000018/initial.png,train/trial_000018/candT.png,train/trial_000018/candF.png,"[60.0, 15.72459, 11.03525]","[60.0, 0.0, 0.0]","[61.0465, -4.51391, 25.95368]","[61.70553, 15.21587, 34.86632]","[60.00119, 15.72226, 11.03632]","[156, 148, 101]","[145, 145, 145]","[178, 134, 126]","[192, 138, 88]","[178, 134, 126]","[156, 148, 101]","[192, 138, 88]","[145, 145, 145]",,,,,
train,19,0,apple3.png,512x512,371,35.1354413624,14,0,10GY 9/8,1,1,1,train/trial_000019/initial.png,train/trial_000019/candT.png,train/trial_000019/candF.png,"[60.0, 10.72845, -8.00254]","[60.0, 0.0, 0.0]","[90.18132, -36.39719, 32.43431]","[88.78604, -24.39925, 22.56789]","[60.00109, 10.72692, -8.00143]","[175, 244, 163]","[145, 145, 145]","[157, 139, 159]","[191, 235, 179]","[157, 139, 159]","[175, 244, 163]","[191, 235, 179]","[145, 145, 145]",,,,,
train,20,0,apple2.png,512x512,368,10.1975613154,-1,-4,7.5Y 6/6,1,1,1,train/trial_000020/initial.png,train/trial_000020/candT.png,train/trial_000020/candF.png,"[60.0, -16.49237, 14.63615]","[60.0, 0.0, 0.0]","[61.0465, -3.26146, 41.84803]","[61.12425, -18.3925, 48.05178]","[60.00108, -16.49367, 14.63691]","[165, 147, 71]","[145, 145, 145]","[124, 152, 118]","[142, 155, 57]","[124, 152, 118]","[165, 147, 71]","[142, 155, 57]","[145, 145, 145]",,,,,
train,21,0,apple1.png,512x512,410,-36.6477480189,-10,0,7.5G 8/6,1,1,1,train/trial_000021/initial.png,train/trial_000021/candT.png,train/trial_000021/candF.png,"[60.0, 2.23146, -12.09648]","[60.0, 0.0, 0.0]","[80.52685, -29.3274, 4.21899]","[80.82034, -24.46456, -9.96241]","[60.00105, 2.23039, -12.09543]","[137, 215, 191]","[145, 145, 145]","[138, 144, 166]","[130, 214, 218]","[138, 144, 166]","[137, 215, 191]","[130, 214, 218]","[145, 145, 145]",,,,,
train,22,0,apple1.png,512x512,425,46.7609870753,4,8,7.5PB 4/2,1,1,1,train/trial_000022/initial.png,train/trial_000022/candT.png,train/trial_000022/candF.png,"[60.0, -3.99486, -0.26743]","[60.0, 0.0, 0.0]","[40.7365, 5.40668, -11.79609]","[40.72625, 2.64218, -12.02478]","[60.00107, -3.99615, -0.26646]","[95, 94, 115]","[145, 145, 145]","[137, 147, 145]","[90, 95, 116]","[137, 147, 145]","[95, 94, 115]","[90, 95, 116]","[145, 145, 145]",,,,,
train,23,0,apple1.png,512x512,398,-52.7627037649,-8,-2,2.5PB 5/6,3,1,3,train/trial_000023/initial.png,train/trial_000023/candT.png,train/trial_000023/candF.png,"[60.0, 10.77276, -19.99091]","[60.0, 0.0, 0.0]","[51.00375, 0.01081, -27.54854]","[51.91717, 15.59086, -49.28275]","[60.00104, 10.77172, -19.9898]","[88, 124, 168]","[145, 145, 145]","[146, 140, 180]","[90, 120, 209]","[146, 140, 180]","[88, 124, 168]","[90, 120, 209]","[145, 145, 145]",,,,,
train,24,0,apple2.png,512x512,402,-43.3525343559,-2,-2,10YR 5/8,1,1,1,train/trial_000024/initial.png,train/trial_000024/candT.png,train/trial_000024/candF.png,"[60.0, -15.35446, -12.1079]","[60.0, 0.0, 0.0]","[51.00375, 14.37738, 49.24929]","[47.36741, -14.09214, 41.28028]","[60.00098, -15.35485, -12.10699]","[164, 111, 32]","[145, 145, 145]","[97, 153, 165]","[110, 117, 38]","[97, 153, 165]","[164, 111, 32]","[110, 117, 38]","[145, 145, 145]",,,,,
train,25,0,apple3.png,512x512,368,25.6558507609,5,0,7.5P 8/10,1,1,1,train/trial_000025/initial.png,train/trial_000025/candT.png,train/trial_000025/candF.png,"[60.0, -16.53931, 10.12055]","[60.0, 0.0, 0.0]","[80.52685, 39.52768, -28.76229]","[77.88171, 15.87082, -16.52268]","[60.00107, -16.54048, 10.12136]","[248, 175, 254]","[145, 145, 145]","[120, 152, 126]","[208, 184, 223]","[120, 152, 126]","[248, 175, 254]","[208, 184, 223]","[145, 145, 145]",,,,,
train,26,0,apple1.png,512x512,441,-49.4855406065,9,12,10Y 5/4,1,1,1,train/trial_000026/initial.png,train/trial_000026/candT.png,train/trial_000026/candF.png,"[60.0, -12.46394, -19.69554]","[60.0, 0.0, 0.0]","[51.00375, -4.70447, 26.38895]","[49.99975, -24.06333, 13.43921]","[60.00096, -12.46409, -19.69461]","[129, 123, 76]","[145, 145, 145]","[92, 153, 179]","[82, 129, 95]","[92, 153, 179]","[129, 123, 76]","[82, 129, 95]","[145, 145, 145]",,,,,
train,27,0,apple1.png,512x512,415,-13.0270629495,2,8,7.5P 8/10,1,1,1,train/trial_000027/initial.png,train/trial_000027/candT.png,train/trial_000027/candF.png,"[60.0, -16.65864, 3.94375]","[60.0, 0.0, 0.0]","[80.52685, 39.52768, -28.76229]","[77.77043, 16.17414, -26.65623]","[60.00105, -16.6596, 3.9446]","[248, 175, 254]","[145, 145, 145]","[114, 153, 137]","[198, 184, 242]","[114, 153, 137]","[248, 175, 254]","[198, 184, 242]","[145, 145, 145]",,,,,
train,28,0,apple2.png,512x512,395,4.49852642284,-6,3,10P 5/4,1,1,1,train/trial_000028/initial.png,train/trial_000028/candT.png,train/trial_000028/candF.png,"[60.0, -18.77869, -3.96024]","[60.0, 0.0, 0.0]","[51.00375, 17.98399, -10.77889]","[49.44717, -0.49113, -17.1454]","[60.00101, -18.77927, -3.95937]","[144, 111, 140]","[145, 145, 145]","[100, 154, 151]","[99, 119, 146]","[100, 154, 151]","[144, 111, 140]","[99, 119, 146]","[145, 145, 145]",,,,,
train,29,0,apple3.png,512x512,379,40.6521342987,0,-4,7.5GY 6/6,1,1,1,train/trial_000029/initial.png,train/trial_000029/candT.png,train/trial_000029/candF.png,"[60.0, 4.2645, 8.31497]","[60.0, 0.0, 0.0]","[61.0465, -21.77134, 27.77796]","[60.80052, -16.68115, 32.98637]","[60.00113, 4.26265, 8.31596]","[126, 157, 97]","[145, 145, 145]","[158, 142, 130]","[138, 154, 87]","[158, 142, 130]","[126, 157, 97]","[138, 154, 87]","[145, 145, 145]",,,,,
train,30,0,apple2.png,512x512,411,42.9389231488,-7,-1,2.5RP 3/10,1,1,1,train/trial_000030/initial.png,train/trial_000030/candT.png,train/trial_000030/candF.png,"[60.0, -8.68751, -10.32805]","[60.0, 0.0, 0.0]","[30.37867, 47.06037, -19.19137]","[27.01131, 42.31787, -33.14542]","[60.00101, -8.68822, -10.32709]","[125, 32, 102]","[145, 145, 145]","[116, 150, 162]","[100, 34, 115]","[116, 150, 162]","[125, 32, 102]","[100, 34, 115]","[145, 145, 145]",,,,,
train,31,0,apple2.png,512x512,395,-34.3337011658,7,-12,2.5BG 7/8,1,1,1,train/trial_000031/initial.png,train/trial_000031/candT.png,train/trial_000031/candF.png,"[60.0, 12.40601, -14.34628]","[60.0, 0.0, 0.0]","[70.86085, -37.05375, -2.97944]","[69.54278, -23.50528, -21.723]","[60.00107, 12.40466, -14.34515]","[69, 192, 178]","[145, 145, 145]","[155, 138, 170]","[74, 184, 208]","[155, 138, 170]","[69, 192, 178]","[74, 184, 208]","[145, 145, 145]",,,,,
train,32,0,apple1.png,512x512,404,45.2916453789,1,10,5B 5/6,1,1,1,train/trial_000032/initial.png,train/trial_000032/candT.png,train/trial_000032/candF.png,"[60.0, 3.5203, -14.51716]","[60.0, 0.0, 0.0]","[51.00375, -13.86151, -23.11392]","[51.92382, -4.1548, -37.79238]","[60.00104, 3.51929, -14.5161]","[53, 130, 160]","[145, 145, 145]","[138, 144, 170]","[50, 129, 188]","[138, 144, 170]","[53, 130, 160]","[50, 129, 188]","[145, 145, 145]",,,,,
train,33,0,apple1.png,512x512,408,-23.0499404647,-4,0,10GY 6/10,1,1,1,train/trial_000033/initial.png,train/trial_000033/candT.png,train/trial_000033/candF.png,"[60.0, 16.4948, -11.49616]","[60.0, 0.0, 0.0]","[61.0465, -43.5297, 37.94095]","[58.48786, -33.55284, 28.82534]","[60.0011, 16.49319, -11.49499]","[82, 165, 77]","[145, 145, 145]","[165, 135, 165]","[94, 155, 88]","[165, 135, 165]","[82, 165, 77]","[94, 155, 88]","[145, 145, 145]",,,,,
train,34,0,apple2.png,512x512,447,39.3181054112,-4,3,2.5B 8/4,1,1,1,train/trial_000034/initial.png,train/trial_000034/candT.png,train/trial_000034/candF.png,"[60.0, -3.09341, 0.83572]","[60.0, 0.0, 0.0]","[80.52685, -12.10233, -14.12749]","[80.77669, -15.3962, -12.52983]","[60.00108, -3.09476, 0.8367]","[157, 208, 226]","[145, 145, 145]","[139, 146, 143]","[152, 210, 223]","[139, 146, 143]","[157, 208, 226]","[152, 210, 223]","[145, 145, 145]",,,,,
train,35,0,apple1.png,512x512,396,10.9803220953,-10,-8,7.5Y 8/4,1,1,1,train/trial_000035/initial.png,train/trial_000035/candT.png,train/trial_000035/candF.png,"[60.0, -1.36109, -7.32082]","[60.0, 0.0, 0.0]","[80.52685, -1.81097, 26.16653]","[80.14185, -5.92146, 18.46942]","[60.00105, -1.36221, -7.3198]","[215, 199, 151]","[145, 145, 145]","[135, 146, 157]","[202, 201, 164]","[135, 146, 157]","[215, 199, 151]","[202, 201, 164]","[145, 145, 145]",,,,,
train,36,0,apple1.png,512x512,426,59.5446055499,-12,3,7.5P 6/4,1,1,1,train/trial_000036/initial.png,train/trial_000036/candT.png,train/trial_000036/candF.png,"[60.0, -4.37757, 12.62734]","[60.0, 0.0, 0.0]","[61.0465, 16.31097, -12.788]","[60.81263, 11.22211, 1.57164]","[60.00112, -4.37925, 12.62822]","[166, 138, 170]","[145, 145, 145]","[146, 146, 122]","[168, 140, 144]","[146, 146, 122]","[166, 138, 170]","[168, 140, 144]","[145, 145, 145]",,,,,
train,37,0,apple2.png,512x512,444,-56.604673146,-2,-15,7.5P 3/4,1,1,1,train/trial_000037/initial.png,train/trial_000037/candT.png,train/trial_000037/candF.png,"[60.0, 10.68748, 11.93704]","[60.0, 0.0, 0.0]","[30.37867, 19.40083, -15.10357]","[31.31983, 25.31364, -4.38214]","[60.00117, 10.6853, 11.93805]","[90, 61, 95]","[145, 145, 145]","[171, 137, 124]","[108, 58, 81]","[171, 137, 124]","[90, 61, 95]","[108, 58, 81]","[145, 145, 145]",,,,,
train,38,0,apple1.png,512x512,363,-16.0039499679,-15,2,7.5PB 5/6,2,1,2,train/trial_000038/initial.png,train/trial_000038/candT.png,train/trial_000038/candF.png,"[60.0, 0.26315, -8.35199]","[60.0, 0.0, 0.0]","[51.00375, 10.73277, -27.7379]","[51.45821, 13.63151, -36.75747]","[60.00106, 0.26201, -8.35096]","[113, 118, 169]","[145, 145, 145]","[138, 145, 159]","[108, 118, 185]","[138, 145, 159]","[113, 118, 169]","[108, 118, 185]","[145, 145, 145]",,,,,
train,39,0,apple2.png,512x512,404,30.4296315488,-2,7,10P 5/8,1,1,1,train/trial_000039/initial.png,train/trial_000039/candT.png,train/trial_000039/candF.png,"[60.0, -15.78302, -4.42495]","[60.0, 0.0, 0.0]","[51.00375, 34.3214, -19.1991]","[48.20612, 18.63167, -28.43144]","[60.00102, -15.78371, -4.42406]","[164, 100, 155]","[145, 145, 145]","[107, 153, 152]","[121, 106, 163]","[107, 153, 152]","[164, 100, 155]","[121, 106, 163]","[145, 145, 145]",,,,,
train,40,0,apple3.png,512x512,402,7.54226977763,-6,-3,7.5B 5/2,1,1,1,train/trial_000040/initial.png,train/trial_000040/candT.png,train/trial_000040/candF.png,"[60.0, 11.27159, 10.31611]","[60.0, 0.0, 0.0]","[51.00375, -1.64235, -10.0581]","[50.38107, 5.85951, -0.86513]","[60.00117, 11.26943, 10.31714]","[109, 123, 138]","[145, 145, 145]","[171, 137, 127]","[129, 117, 122]","[171, 137, 127]","[109, 123, 138]","[129, 117, 122]","[145, 145, 145]",,,,,
train,41,0,apple3.png,512x512,395,-51.3018540734,-11,-8,5G 7/8,1,1,1,train/trial_000041/initial.png,train/trial_000041/candT.png,train/trial_000041/candF.png,"[60.0, -2.00231, 4.73306]","[60.0, 0.0, 0.0]","[70.86085, -38.10347, 10.55446]","[70.98131, -40.44677, 15.46235]","[60.0011, -2.00384, 4.73402]","[93, 191, 153]","[145, 145, 145]","[145, 145, 136]","[93, 192, 144]","[145, 145, 136]","[93, 191, 153]","[93, 192, 144]","[145, 145, 145]",,,,,
train,42,0,apple3.png,512x512,402,49.6757110844,-1,10,10RP 3/8,1,1,1,train/trial_000042/initial.png,train/trial_000042/candT.png,train/trial_000042/candF.png,"[60.0, 5.1344, -4.47569]","[60.0, 0.0, 0.0]","[30.37867, 40.87026, 2.56463]","[31.34232, 43.32283, 1.33744]","[60.00109, 5.13294, -4.47463]","[128, 38, 69]","[145, 145, 145]","[150, 142, 153]","[133, 37, 73]","[150, 142, 153]","[128, 38, 69]","[133, 37, 73]","[145, 145, 145]",,,,,
train,43,0,apple3.png,512x512,435,9.90396608255,2,-4,10YR 2/4,3,1,3,train/trial_000043/initial.png,train/trial_000043/candT.png,train/trial_000043/candF.png,"[60.0, 15.96419, 7.8297]","[60.0, 0.0, 0.0]","[20.23558, 8.87608, 22.7993]","[21.94093, 19.52455, 26.59689]","[60.00117, 15.96194, 7.8308]","[69, 43, 15]","[145, 145, 145]","[177, 134, 132]","[86, 40, 12]","[177, 134, 132]","[69, 43, 15]","[86, 40, 12]","[145, 145, 145]",,,,,
train,44,0,apple1.png,512x512,410,-55.5175256747,3,0,7.5P 5/8,1,1,1,train/trial_000044/initial.png,train/trial_000044/candT.png,train/trial_000044/candF.png,"[60.0, -8.13975, -5.90858]","[60.0, 0.0, 0.0]","[51.00375, 31.76215, -23.80944]","[49.82332, 24.79608, -32.37437]","[60.00104, -8.14067, -5.90762]","[156, 102, 163]","[145, 145, 145]","[123, 149, 155]","[132, 106, 174]","[123, 149, 155]","[156, 102, 163]","[132, 106, 174]","[145, 145, 145]",,,,,
train,45,0,apple1.png,512x512,400,1.87830032894,8,-5,10R 6/4,1,1,1,train/trial_000045/initial.png,train/trial_000045/candT.png,train/trial_000045/candF.png,"[60.0, 2.37791, -16.23952]","[60.0, 0.0, 0.0]","[61.0465, 18.09767, 10.85786]","[60.24517, 16.8561, -5.09695]","[60.00103, 2.37702, -16.23848]","[185, 135, 129]","[145, 145, 145]","[133, 144, 173]","[171, 135, 155]","[133, 144, 173]","[185, 135, 129]","[171, 135, 155]","[145, 145, 145]",,,,,
train,46,0,apple2.png,512x512,393,23.7696535756,2,12,7.5B 3/2,1,1,1,train/trial_000046/initial.png,train/trial_000046/candT.png,train/trial_000046/candF.png,"[60.0, 12.94887, -1.29723]","[60.0, 0.0, 0.0]","[30.37867, -2.47094, -10.64621]","[29.90087, 4.15253, -12.40943]","[60.00113, 12.94702, -1.29611]","[57, 73, 88]","[145, 145, 145]","[166, 137, 147]","[67, 69, 90]","[166, 137, 147]","[57, 73, 88]","[67, 69, 90]","[145, 145, 145]",,,,,
train,47,0,apple1.png,512x512,443,49.2584554651,-1,-3,5G 4/4,1,1,1,train/trial_000047/initial.png,train/trial_000047/candT.png,train/trial_000047/candF.png,"[60.0, -14.03385, 11.96041]","[60.0, 0.0, 0.0]","[40.7365, -18.48511, 4.38811]","[41.61194, -26.7315, 13.85292]","[60.00108, -14.03516, 11.96122]","[63, 104, 88]","[145, 145, 145]","[127, 151, 123]","[54, 109, 75]","[127, 151, 123]","[63, 104, 88]","[54, 109, 75]","[145, 145, 145]",,,,,
train,48,0,apple3.png,512x512,389,-40.4958848852,-4,-9,7.5P 9/4,1,1,1,train/trial_000048/initial.png,train/trial_000048/candT.png,train/trial_000048/candF.png,"[60.0, -0.14873, 3.63951]","[60.0, 0.0, 0.0]","[90.18132, 17.6258, -13.6245]","[90.19312, 17.27438, -7.95243]","[60.0011, -0.15029, 3.6405]","[249, 217, 253]","[145, 145, 145]","[147, 144, 138]","[254, 216, 243]","[147, 144, 138]","[249, 217, 253]","[254, 216, 243]","[145, 145, 145]",,,,,
train,49,0,apple1.png,512x512,428,14.7157230555,2,3,2.5GY 8/4,1,1,1,train/trial_000049/initial.png,train/trial_000049/candT.png,train/trial_000049/candF.png,"[60.0, -0.06843, -3.82033]","[60.0, 0.0, 0.0]","[80.52685, -7.27488, 24.79525]","[80.40714, -8.25615, 20.86921]","[60.00107, -0.06972, -3.81931]","[204, 202, 153]","[145, 145, 145]","[141, 145, 151]","[199, 203, 160]","[141, 145, 151]","[204, 202, 153]","[199, 203, 160]","[145, 145, 145]",,,,,
train,50,0,apple3.png,512x512,381,49.6832402108,-15,0,5G 2/4,3,1,3,train/trial_000050/initial.png,train/trial_000050/candT.png,train/trial_000050/candF.png,"[60.0, 5.56813, 19.43076]","[60.0, 0.0, 0.0]","[20.23558, -16.04451, 3.54105]","[19.43065, -16.56735, 10.63508]","[60.00117, 5.56593, 19.43165]","[20, 55, 43]","[145, 145, 145]","[167, 140, 111]","[25, 53, 31]","[167, 140, 111]","[20, 55, 43]","[25, 53, 31]","[145, 145, 145]",,,,,
train,51,0,apple1.png,512x512,450,59.9788861529,-12,-3,10PB 2/2,1,1,1,train/trial_000051/initial.png,train/trial_000051/candT.png,train/trial_000051/candF.png,"[60.0, -12.14784, -14.894]","[60.0, 0.0, 0.0]","[20.23558, 7.3942, -11.44146]","[20.27574, 3.68721, -20.20417]","[60.00098, -12.14823, -14.89306]","[51, 46, 66]","[145, 145, 145]","[101, 152, 170]","[33, 49, 78]","[101, 152, 170]","[51, 46, 66]","[33, 49, 78]","[145, 145, 145]",,,,,
