stim_id,hue,intensity,kind,bg_r,bg_g,bg_b,center_r,center_g,center_b,true_hue,pred_hue
89,yellow,0.3,flat,0.5,0.5,0.5,0.3,0.3,0.0,yellow,white
90,yellow,0.31,flat,0.5,0.5,0.5,0.31,0.31,0.0,yellow,white
91,yellow,0.32,flat,0.5,0.5,0.5,0.32,0.32,0.0,yellow,white
92,yellow,0.33,flat,0.5,0.5,0.5,0.33,0.33,0.0,yellow,white
93,yellow,0.34,flat,0.5,0.5,0.5,0.34,0.34,0.0,yellow,white
95,yellow,0.36,flat,0.5,0.5,0.5,0.36,0.36,0.0,yellow,white
96,yellow,0.37,flat,0.5,0.5,0.5,0.37,0.37,0.0,yellow,white
100,yellow,0.41,flat,0.5,0.5,0.5,0.41,0.41,0.0,yellow,white
101,yellow,0.42,flat,0.5,0.5,0.5,0.42,0.42,0.0,yellow,white
102,yellow,0.43,flat,0.5,0.5,0.5,0.43,0.43,0.0,yellow,white
103,yellow,0.44,flat,0.5,0.5,0.5,0.44,0.44,0.0,yellow,white
104,yellow,0.45,flat,0.5,0.5,0.5,0.45,0.45,0.0,yellow,white
105,yellow,0.46,flat,0.5,0.5,0.5,0.46,0.46,0.0,yellow,white
106,yellow,0.47,flat,0.5,0.5,0.5,0.47,0.47,0.0,yellow,white
107,yellow,0.48,flat,0.5,0.5,0.5,0.48,0.48,0.0,yellow,white
160,white,0.01,flat,0.5,0.5,0.5,0.01,0.01,0.01,white,blue
161,white,0.02,flat,0.5,0.5,0.5,0.02,0.02,0.02,white,blue
162,white,0.03,flat,0.5,0.5,0.5,0.03,0.03,0.03,white,green
163,white,0.04,flat,0.5,0.5,0.5,0.04,0.04,0.04,white,green
164,white,0.05,flat,0.5,0.5,0.5,0.05,0.05,0.05,white,green
165,white,0.06,flat,0.5,0.5,0.5,0.06,0.06,0.06,white,green
166,white,0.07,flat,0.5,0.5,0.5,0.07,0.07,0.07,white,green
168,white,0.09,flat,0.5,0.5,0.5,0.09,0.09,0.09,white,green
169,white,0.1,flat,0.5,0.5,0.5,0.1,0.1,0.1,white,green
170,white,0.11,flat,0.5,0.5,0.5,0.11,0.11,0.11,white,green
171,white,0.12,flat,0.5,0.5,0.5,0.12,0.12,0.12,white,green
172,white,0.13,flat,0.5,0.5,0.5,0.13,0.13,0.13,white,green
173,white,0.14,flat,0.5,0.5,0.5,0.14,0.14,0.14,white,green
174,white,0.15,flat,0.5,0.5,0.5,0.15,0.15,0.15,white,green
175,white,0.16,flat,0.5,0.5,0.5,0.16,0.16,0.16,white,green
176,white,0.17,flat,0.5,0.5,0.5,0.17,0.17,0.17,white,green
206,white,0.47,flat,0.5,0.5,0.5,0.47,0.47,0.47,white,green
207,white,0.48,flat,0.5,0.5,0.5,0.48,0.48,0.48,white,green
208,white,0.49,flat,0.5,0.5,0.5,0.49,0.49,0.49,white,green
209,white,0.5,flat,0.5,0.5,0.5,0.5,0.5,0.5,white,yellow
210,white,0.51,flat,0.5,0.5,0.5,0.51,0.51,0.51,white,yellow
211,white,0.52,flat,0.5,0.5,0.5,0.52,0.52,0.52,white,yellow
212,white,0.53,flat,0.5,0.5,0.5,0.53,0.53,0.53,white,yellow
213,white,0.54,flat,0.5,0.5,0.5,0.54,0.54,0.54,white,yellow
215,white,0.56,flat,0.5,0.5,0.5,0.56,0.56,0.56,white,yellow
216,white,0.5700000000000001,flat,0.5,0.5,0.5,0.5700000000000001,0.5700000000000001,0.5700000000000001,white,yellow
217,white,0.58,flat,0.5,0.5,0.5,0.58,0.58,0.58,white,yellow
218,white,0.59,flat,0.5,0.5,0.5,0.59,0.59,0.59,white,yellow
219,white,0.6,flat,0.5,0.5,0.5,0.6,0.6,0.6,white,yellow
220,white,0.61,flat,0.5,0.5,0.5,0.61,0.61,0.61,white,yellow
221,white,0.62,flat,0.5,0.5,0.5,0.62,0.62,0.62,white,yellow
222,white,0.63,flat,0.5,0.5,0.5,0.63,0.63,0.63,white,yellow
223,white,0.64,flat,0.5,0.5,0.5,0.64,0.64,0.64,white,yellow
